sizing_mean,sizing_min,sizing_max,sizing_std,deltas_mean,deltas_min,deltas_max,deltas_std,fin,syn,rst,ack,psh,urg,packet_count,label
40.0,40.0,40.0,0.0,0.33064699172973633,1.5020370483398438e-05,0.9918520450592041,0.46754257758219786,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,7.033348083496094e-05,5.0067901611328125e-06,0.00011682510375976562,4.755280326011829e-05,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.3311513264973958,0.00010085105895996094,0.9926841259002686,0.4677743859407549,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.0002536773681640625,1.811981201171875e-05,0.0006279945373535156,0.0002676159783599618,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.0025919278462727866,6.9141387939453125e-06,0.007719993591308594,0.003626130528032409,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.3309289614359538,3.910064697265625e-05,0.9925179481506348,0.4678140653447448,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.002157290776570638,3.504753112792969e-05,0.0063629150390625,0.0029738677560985673,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.3309629758199056,0.00019121170043945312,0.9922418594360352,0.46759479534217807,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.00024930636088053387,1.5020370483398438e-05,0.0006890296936035156,0.0003111543219793461,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.0022890567779541016,2.8133392333984375e-05,0.0064029693603515625,0.0029137387354065463,4.0,0.0,0.0,0.0,4.0,4.0,4,1
